"id","clay","X","Y","soil"
"P0743",47.4911886014248,21.70873523,41.73356194,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0744",27,21.7207358,41.74464356,"Complex of Mollic and Umbric Leptosol  and Leptosol"
"P0745",38.1010005800464,21.70770765,41.71660422,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0747",19.0780688323792,21.72318542,41.70471223,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0748",39.8476720553987,21.74855739,41.73122043,"Vertisol"
"P0749",23,21.74269781,41.69524131,"Complex of Mollic and Umbric Leptosol"
"P0751",5,21.69231752,41.68231048,"Regosol"
"P0752",7,21.65524862,41.69042462,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0753",5,21.6334562,41.6890971,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0754",7.74940172919561,21.61015197,41.68277607,"Regosol"
"P0755",6,21.60942421,41.69475572,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0757",4,21.63962709,41.664472,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0759",19.2224025974026,21.61431115,41.64900547,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0761",28.2396313194915,21.63525518,41.62648861,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0762",3.993535795411,21.68154563,41.63584021,"Fluvisol"
"P0763",11.6641450974352,21.66415767,41.63857128,"Fluvisol"
"P0764",13.5636978844024,21.72918431,41.66775657,"Fluvisol"
"P0766",18,21.70790094,41.63559088,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0769",11.2534925276153,21.68137363,41.61950719,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0770",7,21.6105549,41.62244439,"Complex of Cambisol and Regosol"
"P0771",7,21.65993129,41.61491395,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0772",9,21.63865285,41.60351741,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0773",19.8333498088836,21.67884919,41.59847869,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0774",8.81421998624011,21.6323509,41.58839769,"Cambisol"
"P0775",12,21.71294203,41.59854246,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0776",6,21.73020534,41.65077684,"Complex of Chromic Luvisol on saprolite and Vertisol"
"P0777",19,21.7481568,41.5918805,"Complex of Humic Calcaric Regosol and Regosol"
"P0779",4.72336783003949,21.69438188,41.58151152,"Fluvisol"
"P0780",19,21.65193168,41.57713174,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0782",5,21.59677268,41.53061653,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0783",6,21.67468102,41.52301819,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0784",24.0986248338342,21.73348735,41.52401785,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol"
"P0786",21.4230751625011,21.68731738,41.55315369,"Complex of Humic Calcaric Regosol and Regosol"
"P0787",12,21.78299022,41.50455671,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0788",19.0048076923077,21.78995719,41.52192394,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0789",12.8524841165952,21.78691072,41.55923263,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol"
"P0790",36.6938827614379,21.78735203,41.57583391,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol"
"P0791",24,21.81290831,41.59035135,"Complex of Humic Calcaric Regosol and Leptosol"
