"id","pH","X","Y","soil"
"P0545",4.5,20.88444838,41.95159147,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0546",5.1,20.89808718,41.93845853,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0547",5.4,20.90539461,41.93069432,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0548",4.63794187317784,20.90461881,41.91725064,"Fluvisol"
"P0549",7.31803935860058,20.89056845,41.88533667,"Fluvisol"
"P0551",5.6,20.86488652,41.88179772,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0553",4.4,20.84153826,41.86137355,"Cambisol"
"P0554",4.93860619469027,20.85883435,41.85609267,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0556",4.66134686346863,20.8442045,41.83477891,"Cambisol"
"P0569",5.81683265627048,21.01034098,41.89225847,"Chromic Luvisol on saprolite"
"P0574",5.43220109899565,21.06289117,41.9505159,"Chromic Luvisol on saprolite"
"P0579",6.06399289099526,20.77474834,41.72756704,"Cambisol"
"P0580",5.73842251604697,20.75843706,41.70517609,"Cambisol"
"P0584",6,20.59580707,41.66058862,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0585",6.3,20.58391998,41.62509566,"Chromic Luvisol on saprolite"
"P0590",6.5,20.71700875,41.63344229,"Rendzic Leptosols"
"P0597",5,20.63340957,41.5384782,"Chromic Luvisol on saprolite"
"P0598",4.9,20.68073111,41.55441341,"Chromic Luvisol on saprolite"
"P0601",5.95745856353591,20.6965263,41.55797698,"Chromic Luvisol on saprolite"
"P0609",5.20257636676491,20.79430147,41.59275305,"Complex of Mollic and Umbric Leptosol"
"P0611",5.69795275300714,20.71170452,41.60092282,"Complex of Mollic and Umbric Leptosol"
"P0612",4.9135762216749,20.75604224,41.61707152,"Complex of Mollic and Umbric Leptosol"
"P0616",4.91175808330979,20.77621863,41.65019507,"Complex of Mollic and Umbric Leptosol"
"P0617",5.32343146122342,20.79780972,41.65621404,"Rendzic Leptosols"
"P0618",5.17243295019157,20.80681922,41.71092235,"Cambisol"
"P0620",5.95663580246914,20.84325651,41.67532039,"Chromic Luvisol on hard limestones"
"P0624",7.3,20.95587059,41.66567599,"Rendzic Leptosols"
"P0625",6.9,20.95942878,41.65977038,"Rendzic Leptosols"
"P0626",5.74581625329269,20.83410223,41.65291348,"Cambisol"
"P0628",4.42812524767012,20.87143024,41.63414193,"Cambisol"
"P0629",5.13805970149254,20.84392256,41.62828196,"Cambisol"
"P0630",5.05393772893773,20.87368273,41.61773821,"Cambisol"
"P0631",5,20.83525201,41.59271997,"Complex of Mollic and Umbric Leptosol"
"P0632",4.53263760710014,20.87197083,41.58535597,"Cambisol"
"P0633",4.72818468226445,20.88098619,41.5677977,"Cambisol"
"P0634",4.73205128205128,20.87237646,41.54988729,"Complex of Mollic and Umbric Leptosol"
"P0635",4.86976105774059,21.0037154,41.51523609,"Chromic Luvisol on saprolite"
"P0636",5.81501406392865,21.05843766,41.52312741,"Chromic Luvisol on saprolite"
"P0637",4.37688958903874,21.04428869,41.56085418,"Chromic Luvisol on saprolite"
"P0638",5.48854359207361,21.05936994,41.5730036,"Cambisol"
"P0639",5.44604458711599,21.05151277,41.5844162,"Cambisol"
"P0641",5.4,21.02013822,41.62297444,"Chromic Luvisol on saprolite"
"P0643",4.92563713592233,20.99373889,41.60540819,"Chromic Luvisol on saprolite"
"P0644",5,20.99462825,41.58650767,"Chromic Luvisol on saprolite"
"P0647",6.889592865616,20.93593509,41.61877125,"Fluvisol"
"P0650",6.5342861470998,20.94583609,41.5885841,"Albic Luvisol"
"P0653",5.93519313304721,20.96996138,41.55155701,"Gleysol"
"P0655",5.76539364466714,20.95815547,41.53059051,"Fluvisol"
"P0656",7.05228498552865,20.98391807,41.53730547,"Fluvisol"
"P0657",6.20007065259137,21.00335741,41.54268232,"Fluvisol"
"P0659",5.90149167669317,21.01248406,41.57182964,"Fluvisol"
"P0660",5.39608743268872,21.00633414,41.58671473,"Fluvisol"
"P0661",5.7,21.02393008,41.58971994,"Chromic Luvisol on saprolite"
"P0663",5.80378717902616,21.01992727,41.60040911,"Chromic Luvisol on saprolite"
"P0683",4.80619834710744,21.15579028,41.59753189,"Cambisol"
"P0686",6.83409090909091,21.19204063,41.56082842,"Chromic Luvisol on saprolite"
"P0716",5.90733359642199,21.35697403,41.53058437,"Complex of Cambisol and Regosol"
"P0719",5.29085194971575,21.50727746,41.52552629,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0721",5.25493014944769,21.52769312,41.55030514,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0722",5.87876361887862,21.54829914,41.55177553,"Fluvisol"
"P0725",8,21.46702752,41.57700496,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0727",5.5,21.5246201,41.61940196,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0730",5.99546191057398,21.49465434,41.72575969,"Cambisol"
"P0731",6.50277777777778,21.53745892,41.73189749,"Cambisol"
"P0732",7.8,21.56492678,41.73197283,"Cambisol"
"P0733",6.6,21.61914436,41.73743821,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0734",6.4,21.63744747,41.73805847,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0736",6.4,21.6034909,41.70776228,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0739",6.75118328298087,21.68375301,41.69588627,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0741",5.37510757314974,21.68402138,41.74386853,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0743",7.98158042744657,21.70873523,41.73356194,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0744",6.4,21.7207358,41.74464356,"Complex of Mollic and Umbric Leptosol  and Leptosol"
"P0745",7.98989994199536,21.70770765,41.71660422,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0747",7.24535181733457,21.72318542,41.70471223,"Complex of Humic Calcaric Regosol, Regosol and Vertisol"
"P0748",7.74516839530272,21.74855739,41.73122043,"Vertisol"
"P0749",7.7,21.74269781,41.69524131,"Complex of Mollic and Umbric Leptosol"
"P0751",7.4,21.69231752,41.68231048,"Regosol"
