ProfID,x,y,soc_0_30,soc_30_60,soc_60_100,clay_0_30,clay_30_60,clay_60_100,ph_0_30,ph_30_60,ph_60_100,ocs_0_30,ocs_30_60,ocs_60_100
P3126,630554.1,4558187.4,1.6800743155452436,1.2914987186247626,1.0656476197004852,21.864607501933488,25.058336848766082,26.914622442522674,7.759369682907966,7.7282113478169165,7.710101244463194,136.12573129255136,106.15095884215307,117.7486674308431
P3127,631484.3,4556865.4,1.3421376017485118,1.1880153978508472,1.118025606570513,4.735379464285714,3.6725532280219784,3.1899038461538467,6.744819568452381,6.549968091804031,6.461482371794873,54.75421325498797,34.67549479951268,35.387029959419834
P3148,627099.8,4566872.6,1.809745,NA,NA,9.4,NA,NA,6.3,NA,NA,61.30300588198247,NA,NA
P3149,628604.9,4565714.8,0.7946636,0.7946636,NA,7.2,7.2,NA,6,6,NA,30.920242048617787,30.920242048617787,NA
P3152,632274.3,4565697,1.2979322825935002,0.5199937432940801,NA,9.572344771241829,18.194126098715348,NA,5.16513026506899,5.644118116595297,NA,41.53356380894688,21.88792978813359,NA
P3154,624477.4,4567377,1.38051,NA,NA,22.7,NA,NA,6.5,NA,NA,54.81969227697106,NA,NA
P3167,619293.7,4557239.2,1.693735,NA,NA,16.2,NA,NA,6.5,NA,NA,52.73917563805977,NA,NA
P3169,618607.9,4559332.1,1.821346,1.821346,NA,35.2,35.2,NA,6.4,6.4,NA,69.17121152839259,69.17121152839259,NA
P3170,621244.1,4558530.5,0.9280742,0.9280742,NA,12.7,12.7,NA,6.2,6.2,NA,34.91790187156377,34.91790187156377,NA
P3171,623337.1,4560712.6,2.00116,NA,NA,21.2,NA,NA,6.3,NA,NA,58.17453397513632,NA,NA
P3172,623194.6,4558682,1.6672528824352852,0.6723186014448366,0.39970172856450714,14.481146179401994,36.49526578073091,42.52724252491696,6.1000000000000005,6.1,6.1,61.66816358463762,31.64450384936498,26.300082428691734
P3178,591679.2,4566580.4,1.589327,NA,NA,12.2,NA,NA,5.9,NA,NA,45.46042407894472,NA,NA
P3179,592632.1,4564318.3,1.9207149554552023,0.87161282257948,0.5809182309248557,7.533995664739884,8.85097543352601,9.215895953757224,5.255467244701348,5.079869942196532,5.031213872832369,59.55619664620783,33.6478392979576,31.63833818789305
P3180,591679.2,4563383.1,3.066567862793235,1.1360446999454445,0.5064784233496997,6.955667697157059,5.161477844456568,4.576371461477844,5.161083075710734,5.609630538885857,5.7559071346305375,86.25355065015768,32.16328151946276,18.7192334483558
P3182,595179.3,4566464.7,2.8239705197637446,0.7186931535208978,0.5605223641093927,14.492635690934742,14.952851859227659,13.053828328796437,5.479496261471812,5.389014200296195,5.401872206767206,85.04282836176047,26.22165267249388,28.231915501372168
P3183,595268.4,4565084.2,3.8477236688181216,0.8611840840112197,0.3801285784882068,13.763118549750056,19.956116939283273,16.33223553342008,5.418417072298765,5.613257982014684,5.4555839727195226,115.06224512408478,38.86961989755578,23.6284120514229
P3184,596659.9,4566248.7,3.0708958994942943,0.3576686349898216,0.31008860545647965,9.170377964816689,8.894867247915569,8.29167318733936,5.205206177970123,5.299238831514402,5.55923389699171,77.0742679120214,14.734406335993935,15.714355519913482
P3185,596963.9,4564752.4,2.794433881787136,1.2985502416903303,0.5081728129753992,7.289697848097505,17.48969515478289,22.40514096549062,5.124345541312652,5.357279811472448,5.635669537466672,82.0854121480362,51.531855999358484,28.08233549674992
P3187,595633.5,4562278.8,3.2281574668028123,1.813082104038067,0.5429477443031858,9.176921521247818,9.778964149090426,6.505785731822733,5.760498423017441,5.583674086074079,6.145721905150541,73.9786040979904,42.99372614177669,28.175911310179114
P3188,592614.3,4561201.1,4.457084157634288,1.6270121712021355,0.7348678447746353,43.17708402524078,43.97784607698942,26.023845684951844,5.8958048558793195,6.745676588907165,7.001725817461444,135.38750501821434,64.28310344429407,40.79413667177458
P3192,598732.9,4558538.2,NA,NA,NA,20.7,20.7,NA,NA,NA,NA,NA,NA,NA
P3193,598821.9,4560925,NA,NA,NA,13.7,13.7,NA,NA,NA,NA,NA,NA,NA
P3200,606819.6,4562768.6,2.962427342670462,1.3729554949076201,0.6817114365262723,15.189209934948726,16.003823165669804,10.245459764835566,5.619830218561387,5.978333324827675,6.003538949108946,77.97846688274083,45.42855369746106,27.923596680334654
P3201,607656.8,4561869.1,2.6462506119604248,1.0288950409092605,0.9276220368646132,9.082953836887446,8.482802706133985,8.153498164401228,5.842386435457766,5.67702167714317,5.707300288169271,75.38743488179912,34.57726125274354,44.23519375785805
P3202,609170.9,4561575.2,1.688446950534308,0.8006077607845894,0.47676756590269975,5.293164135733033,5.713668213348331,5.8670474784401945,6,6,6,51.72812160680195,24.610546603026737,19.426864681119365
P3203,607754.8,4559215,2.6075789101306217,0.7252733301416274,0.45231853844290165,8.266858560524353,9.991466231451449,12.46265315949721,5.669047791737901,5.659839683235544,5.931598745892222,68.86494468185403,27.277053242987144,22.860288404153778
P3204,608903.7,4558573.8,2.687776270819114,0.38274677373056754,0.35211763527315026,17.05547938633209,20.120948060653184,21.247215890330615,6.344754429002002,6.770368482318097,7.012546879947997,94.77692309728626,16.156023617100274,21.970636994744662
P3205,610186.2,4557701,3.3264039267822736,1.1118056620905583,0.35665562235067383,21.117790622992935,20.208750802825946,19.89877970456005,7.273988439306358,8.092124277456646,8.371098265895952,99.81159231000547,38.72571971637878,17.118684731988306
P3206,611664.6,4556463,3.0875023106062747,0.9785057646763707,0.08602007327586196,19.5666972866026,30.498721028829852,35.13958451102318,7.335062182023742,7.497018089315998,7.565771622385529,100.66995263192211,42.36704561560472,5.505974798726779
P3207,610337.6,4559678.2,1.0912386800080682,0.7226591888399031,NA,6.7,6.7,NA,5.64576417704011,5.884050829875519,NA,37.215185430647814,19.86597530922303,NA
