LabID,STATE,MUNICIPALITY,p_bray,k,ca,stratum,x,y
1935,MICHOACAN,Quitupan,211.4,0.7,5.2,15,-102.88966396042537,19.96842587224164
1937,MICHOACAN,Villamar,6,0.8,17.9,14,-102.58423676383018,19.96842587224164
1942,MICHOACAN,Morelos,3,0.5,0,14,-101.51074999932648,19.97067166045195
1943,MICHOACAN,Cuitzeo,42.7,1.2,14.3,14,-101.20307701452104,19.96842587224164
1946,GUANAJUATO,Acambaro,31.8,0.6,2.1,14,-100.74269043141796,19.966180084031336
1947,GUANAJUATO,Tarandacuao,49.7,1.4,8.2,14,-100.51362003397158,19.96393429582103
1950,MEXICO,Temascalcingo,37.7,0.9,0,15,-99.97687665171972,19.95719693119011
1952,MEXICO,Acambay,39.7,0.4,0,15,-99.74556046606308,19.9527053547695
1953,MEXICO,Jilotepec,55.6,0.8,0.2,15,-99.66920366691429,19.9527053547695
1954,HIDALGO,Tepeji del Rio de Ocampo,13.7,0.5,1.9,15,-99.36153068210882,19.948213778348887
1955,MEXICO,Tequixquiac,2,7.2,17.7,24,-99.20881708381124,19.94372220192827
1956,MEXICO,Tequixquiac,2,0.9,11.9,24,-99.13246028466244,19.94372220192827
1957,MEXICO,Hueypoxtla,3.9,0.7,19.5,14,-99.05610348551365,19.941476413717965
1958,HIDALGO,Tolcayuca,3.9,0.7,20.4,14,-98.97974668636483,19.941476413717965
1959,HIDALGO,Tolcayuca,13.7,1.9,13.5,24,-98.90338988721604,19.93923062550766
1960,HIDALGO,Villa de Tezontepec,27.5,0.7,10.1,24,-98.82478729985698,19.936984837297352
1961,HIDALGO,Zempoala,15.7,0.8,11.7,24,-98.67207370155938,19.93473904908705
1962,HIDALGO,Zempoala,21,1,5.8,24,-98.5957169024106,19.93249326087674
1963,HIDALGO,Singuilucan,24.2,1,1.9,24,-98.5193601032618,19.930247472666434
1964,HIDALGO,Singuilucan,17.9,0.5,1.3,24,-98.44300330411298,19.928001684456127
1966,HIDALGO,Cuautepec de Hinojosa,80,0.2,11.4,15,-98.29028970581538,19.92575589624582
1967,PUEBLA,Chignahuapan,72,0.2,0.9,15,-98.21168711845633,19.923510108035515
1969,PUEBLA,Zacatlan,7,0.3,3.8,15,-98.05897352015872,19.919018531614903
1970,PUEBLA,Zacatlan,0,1.1,7.1,30,-97.98261672100992,19.916772743404596
1971,PUEBLA,Zacatlan,0,0.8,7.2,15,-97.90625992186114,19.91452695519429
1977,VERACRUZ,Misantla,18.9,2.7,19.5,11,-96.83277315735744,19.88308592025
1982,JALISCO,Tapalpa,11.9,0.3,2.4,15,-103.73408032748269,19.887577496670612
1983,JALISCO,Mazamitla,1,1.1,6.6,15,-103.12098014608202,19.89431486130153
1987,MICHOACAN,Huaniqueo,4,0.9,15.6,9,-101.58710679847528,19.896560649511837
1988,MICHOACAN,Avaro Obregon,14.1,5.2,37.8,14,-101.05036341622343,19.89431486130153
1990,MICHOACAN,Zinapecuaro,1,0.7,2.5,14,-100.82129301877704,19.89431486130153
1991,MICHOACAN,Zinapecuaro,13.9,1.1,5.5,15,-100.66633363226916,19.892069073091225
1992,MICHOACAN,Maravatio,0,0.8,5.2,15,-100.58997683312036,19.892069073091225
1993,MICHOACAN,Contepec,85.4,0.4,0.3,15,-100.28454963652518,19.887577496670612
2002,MEXICO,Temascalapa,27.5,1.6,12.1,24,-98.90338988721604,19.867365402777853
2004,MEXICO,Axapusco,3.9,0.6,7.5,24,-98.75067628891844,19.86287382635724
2005,HIDALGO,Zempoala,11.8,1,26.8,24,-98.67431948976964,19.860628038146935
2006,HIDALGO,Zempoala,3.9,0.9,12.6,24,-98.59796269062085,19.860628038146935
2011,PUEBLA,Chignahuapan,0,0.7,0.7,15,-98.1375761075178,19.849399097095404
2012,PUEBLA,Chignahuapan,4,0.8,1.7,15,-98.061219308369,19.847153308885098
2022,JALISCO,Tonaya,14.1,1,3.8,19,-103.96315072492906,19.8134664857305
2023,MICHOACAN,Tangamandapio,2.5,2.7,7.5,14,-102.50563417647112,19.824695426782032
2025,MICHOACAN,Tangancicuaro,0,1.4,4.7,15,-102.35292057817352,19.824695426782032
2026,MICHOACAN,Tangancicuaro,0,0.6,7.5,15,-102.20020697987592,19.824695426782032
2027,MICHOACAN,Zacapu,0,2.3,13.2,15,-101.97113658242952,19.824695426782032
2028,MICHOACAN,Zacapu,22.8,0.4,2.3,9,-101.73982039677288,19.824695426782032
2029,MICHOACAN,Chucandiro,0,0.8,9,14,-101.35803640102888,19.824695426782032
2030,MICHOACAN,Tarimbaro,55.6,2.1,12.7,14,-101.20307701452104,19.82244963857173
2031,MICHOACAN,Zinapecuaro,3,0.6,0.4,14,-100.82129301877704,19.82020385036142
2032,MICHOACAN,Maravatio,31.8,0.7,0,15,-100.43726323482278,19.817958062151114
2033,MICHOACAN,Maravatio,30.8,0.4,0,15,-100.36090643567398,19.815712273940807
2036,MEXICO,Coyotepec,2,0.5,0.2,24,-99.21106287202149,19.799991756468664
2037,MEXICO,Tec mac,78.4,2.2,23.5,24,-98.9819924745751,19.795500180048048
2038,MEXICO,Temascalapa,6,1.4,1.1,24,-98.9056356754263,19.793254391837745
2039,MEXICO,Axapusco,13.7,0.8,10,24,-98.7529220771287,19.791008603627436
2042,HIDALGO,Tepeapulco,1,1,5,15,-98.5238516796823,19.786517027206823
2044,HIDALGO,Apan,16,0.2,2,15,-98.36889229317444,19.78202545078621
2046,PUEBLA,Chignahuapan,80.5,1.3,0.9,15,-98.13982189572803,19.775288086155292
2047,PUEBLA,Chignahuapan,4,0.2,0.9,15,-98.06346509657924,19.775288086155292
2053,JALISCO,Tonaya,2,0.9,4.8,19,-103.9609049367188,19.73935547479039
2057,MICHOACAN,Los Reyes,0,0.5,2.8,15,-102.27656377902473,19.752830204052227
2058,MICHOACAN,Zacapu,0,1,7.8,15,-101.73982039677288,19.752830204052227
2061,MICHOACAN,Morelia,0,1.5,13.9,14,-101.28167960188009,19.75058441584192
2063,MICHOACAN,Hidalgo,14.9,0.5,0,15,-100.59222262133063,19.74609283942131
2064,MICHOACAN,Hidalgo,238.4,0.3,0,15,-100.51586582218184,19.74609283942131
2067,MEXICO,San Felipe del Progreso,69.5,0.1,0.1,15,-99.9027656407812,19.73935547479039
2069,MEXICO,Morelos,77.5,0.5,0,15,-99.6736952433348,19.734863898369778
2070,MEXICO,Morelos,25.8,0.5,0,15,-99.597338444186,19.734863898369778
