ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
3151,Luvisol,Temporal,CHIAPAS,Villaflores,16.23839,-93.23208,Tuxtla,6.8,0.3,0.7,1.4,0,77.5,13.3,9.2,Migajon arenoso,Franco arenosa y franco,0,0,4.4,2,0.3,4.2,0.1,0.1
3152,Litosol,Temporal,CHIAPAS,Venustiano Carranza,16.20195,-92.63619,Tuxtla,6.9,0.3,5.1,1.1,0,21.5,16,62.5,Arcilla,Arcillosa,0.3,0.5,47.1,17.3,0.2,24.6,0,0
3153,Litosol,Temporal,CHIAPAS,Tzimol,16.17305,-92.18949,Tuxtla,7.7,0.7,16,1,39,44.9,27.3,27.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.2,0.5,43.3,14.3,0.5,52.9,0,0
3154,Vertisol,Temporal,CHIAPAS,La Trinitaria,16.1581,-91.96621,Tuxtla,7.8,0.5,3.6,1.3,5.1,67.5,10,22.5,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.2,0,16.6,3.2,0.4,5.6,0,0.1
3155,Luvisol,Temporal,OAXACA,San Jose Estancia Grande,16.37743,-98.23454,Acapulco,5,0.1,1.7,1.7,21.8,83.5,8,8.5,Arena migajosa,Arena y Areno franco,0.1,0.1,2,2.3,0,0.8,0,0
3156,Regosol,Temporal,OAXACA,Santa Cruz Xitla,16.32939,-96.66648,Oaxaca 1,8,0.5,3.1,1.3,12.1,50.2,14,35.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,0.1,0.4,44.8,19,0,17.4,0,0
3157,Luvisol,Temporal,OAXACA,Miahuatlan de Porfirio D!az,16.32395,-96.5172,Oaxaca 1,6.3,0.2,1.4,1.6,22.8,66.2,10,23.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0,0.7,6.1,2.9,0,9,0,0
3158,Litosol,Temporal,OAXACA,Santa Catarina Quioquitani,16.31551,-96.2933,Oaxaca 1,5.4,0.1,1.4,1.5,34.8,54.2,26,19.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0,0.7,4.2,4.4,0,8,0,0
3161,Regosol,Temporal,CHIAPAS,Villaflores,16.17946,-93.46006,Tuxtla,4.6,0.1,2.5,1.4,4,63.5,18,18.5,Migajon arenoso,Franco arenosa y franco,0.3,0,2.4,0.6,0.3,11,0.1,0
3162,Vertisol,Temporal,CHIAPAS,Villa Corzo,16.17515,-93.38558,Tuxtla,6.5,0.1,3.6,1.4,6,75.5,16,8.5,Migajon arenoso,Franco arenosa y franco,0.2,0.2,5.7,1.6,0.2,3.6,0,0
3163,Regosol,Temporal,CHIAPAS,Villa Corzo,16.16642,-93.23664,Tuxtla,6,0.2,4.6,1.3,5,69.5,14,16.5,Migajon arenoso,Franco arenosa y franco,0.2,0.4,6.2,3.1,0.4,3.1,0.1,0.1
3164,Luvisol,Temporal,CHIAPAS,Villa Corzo,16.15304,-93.01326,Tuxtla,4.4,0.1,3.7,1.4,6.2,52.9,23.3,23.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.1,2.3,0.8,0.6,11.9,0.3,0
