pid,x,y,year,kod_t
P5827,655794.6,4626188.4,1954,075.18
P5828,648323.3,4625437.7,1954,075.3
P5829,648734.3,4625311.5,1954,075.4
P5830,654723.6,4626657.6,1954,075.17
P5831,651772.6,4619560.5,1954,075.41
P5832,651093.1,4622107.1,1954,075.44
P5833,651121.5,4620123.4,1954,075.39
P5834,652079.7,4617818.4,1954,075.51
P5835,651781.7,4625341.6,1954,075.11
P5836,652376.8,4625400.3,1954,075.9
P5837,654452.1,4632244.4,1954,074.60
P5838,655724.4,4637555.3,1954,074.121
P5839,651647.4,4642991.4,1954,074.109
P5840,652113.3,4644588.7,1954,074.95
P0848,532782.3,4658342.7,1955,051.363
P0849,531967.8,4657708.5,1955,051.376
P0850,531167.4,4657540.7,1955,051.374
P0851,530388.6,4657391.4,1955,051.400
P0852,529833.8,4656845.9,1955,051.395
P0854,531381,4656790.5,1955,051.377
P0855,532538.3,4656528.8,1955,051.367
P0858,530458.6,4655451.6,1955,051.403
P0860,532295.8,4655470.3,1955,051.389
P0861,530617.1,4654887.4,1955,051.404
P0862,530211.4,4653978.1,1955,051.406
P0864,532860,4655087.9,1955,051.391
P0866,533694.7,4654057.4,1955,051.391
P0867,532174.6,4654656.6,1955,051.386
P0868,532940.4,4654467.8,1955,051.382
P0870,534405.8,4653313.7,1955,051.385
P0888,531464.1,4656193.9,1955,051.375
P0889,532452.6,4658054.4,1955,051.370
P0890,532093.6,4656077.3,1955,051.387
P0893,533645.3,4660059.2,1955,051.458
P0903,539383,4652592.7,1955,051.296
P0908,534384.9,4657153.4,1955,051.354
P0910,541303,4654675.7,1955,051.293
P0911,542387.1,4655410.1,1955,051.289
P0912,541803.1,4653892.3,1955,051.292
P0914,542383.6,4654759.6,1955,051.295
P0916,544753,4655323.5,1955,051.282
P0923,544693.6,4651834.2,1955,051.230
P0924,544589.4,4652379.1,1955,051.229
P0926,544184.1,4651649.3,1955,051.232
P0930,545766.6,4652300.7,1955,051.238
P0931,545693.2,4651569.7,1955,051.251
P1053,536274.1,4645956.4,1955,051.436
P1173,550922.9,4634558.1,1955,042.468
P1174,556738,4648670.9,1955,042.571
P1175,559073.3,4648598.6,1955,042.624
P1176,556490,4646593.9,1955,042.593
P1177,558484.3,4645663.9,1955,042.608
P1178,560561.3,4649032.6,1955,042.715
P1179,557750.6,4642904.9,1955,042.728
P1180,562764.9,4649678.4,1955,042.638
P1181,564477.6,4647275.9,1955,042.642
P1182,562400.6,4646066.9,1955,042.667
P1183,568096.9,4645857.6,1955,042.686
P1184,566802.6,4648128.4,1955,042.684
P1185,567228.9,4642083.4,1955,042.692
P1186,564834.1,4636937.4,1955,042.761
P1187,567693.9,4634953.4,1955,042.766
P1188,567128.1,4632116.9,1955,042.783
P1189,565609.1,4629497.4,1955,042.794
P1190,563849.9,4627358.4,1955,042.845
P1191,568143.4,4625575.9,1955,042.812
P1192,562222.4,4625242.6,1955,042.849
P1193,557200.4,4629590.4,1955,042.863
P1194,550457.9,4631310.9,1955,042.455
P1195,549155.9,4632364.9,1955,042.452
P1196,554239.9,4633744.4,1955,042.536
P1197,561927.9,4630962.1,1955,042.832
P1200,552891.4,4636441.4,1955,042.507
P1201,551093.4,4638154.1,1955,042.485
P1202,552829.4,4638789.6,1955,042.494
P1203,555386.9,4637789.9,1955,042.518
P1204,558207.9,4638836.1,1955,042.735
P1205,560873.9,4638115.4,1955,042.737
P5645,544294.1,4638512.7,1955,039.361
P5798,543108.4,4636055.7,1955,039.373
P6518,587338,4634286,1959,062.30
P6519,583989,4635414,1959,062.32
P6520,584124,4634777,1959,062.46
P6521,584742,4631857,1959,062.3
P6522,584256,4630686,1959,062.4
P6523,585742,4636047,1959,062.33
P6524,583763,4634126,1959,062.57
P6525,581309,4630190,1959,062.51
P6526,580224,4629821,1959,062.53
P6527,580968,4628892,1959,062.52
P6528,584559,4630229,1959,062.17
P6529,583493,4630925,1959,062.14
P6530,583740,4630543,1959,062.15
P6517,587329,4634774,1959,062.43
P6531,599398,4630611,1959,062.61
P5440,480239.4,4554679,1960,089.159
P5443,486349.2,4554019.2,1960,089.157
P5447,483407.2,4555383.4,1960,089.151
P5451,483078.4,4556568.9,1960,089.145
P5453,484183.1,4556352.6,1960,089.139
P5454,484514.8,4555123.8,1960,089.146
P5455,484984.9,4555507.5,1960,089.144
P5461,485746,4556760.7,1960,089.137
P5464,485062.4,4559319.8,1960,089.122
P5469,486245.2,4559986.2,1960,089.118
P5474,486608.6,4558787.6,1960,089.124
P5799,503601.5,4563322.9,1965,104.52
P5800,501434.9,4561300.8,1965,104.62
P5801,499432.5,4564864.2,1965,104.23
P5802,490011.1,4562816.9,1965,104.40
P5803,488826.8,4566477.3,1965,104.2
P1888,510234.9,4554871.4,1969,102.3
P1889,515119.7,4554648.9,1969,102.7
P1890,514275.3,4551583.5,1969,102.47
P1893,508562.9,4554536.2,1969,102.1
P1894,509378.7,4549298.8,1969,102.79
P1895,514575.3,4549037.8,1969,102.73
P1896,515456.3,4549099,1969,102.74
P1897,521880.7,4549074.5,1969,102.67
P1898,520546.9,4555719.1,1969,102.14
P1899,526396.1,4552366.2,1969,102.22
P1900,520196.1,4551126.2,1969,102.53
P1901,524846.1,4548939.9,1969,102.63
P1902,509117.7,4545921.5,1969,102.119
P1903,511989.3,4545203.6,1969,102.117
P1904,516329.3,4543669.9,1969,102.215
P1905,523132.9,4542038.3,1969,102.157
P1906,525547.6,4541451,1969,102.153
P1907,526885.6,4540276.2,1969,102.124
P1909,509313.5,4537290.5,1969,102.270
P1910,514893.5,4536376.8,1969,102.222
P1911,511614,4535397.8,1969,102.261
P1912,517161.3,4535985.2,1969,102.210
P1913,517487.7,4535218.3,1969,102.208
P1914,522219.2,4533864.1,1969,102.163
P1915,520799.8,4533244.1,1969,102.179
P1916,520995.6,4532934.1,1969,102.178
P1917,522839.2,4530503.1,1969,102.165
P1918,521517.7,4531759.4,1969,102.177
P1919,527456.6,4529817.8,1969,102.135
P1920,523638.7,4528708.4,1969,102.164
P1921,514485.6,4527811,1969,102.232
P1922,520245,4529801.5,1969,102.175
P1924,514984.2,4539180,1969,102.220
P1925,513378.1,4538032.8,1969,102.245
P1926,514892.4,4541033.9,1969,102.218
P1928,471290.6,4592549.4,1969,080.1018
P1929,473060.5,4593346.6,1969,080.1012
P1930,476919.2,4594973,1969,080.990
P1931,479677.7,4594080.1,1969,080.971
P1932,477875.9,4592134.8,1969,080.993
P1933,481766.4,4593506.1,1969,080.975
P1934,484720.3,4592027.2,1969,080.961
P1935,470788.4,4590628,1969,080.1025
P1936,472940.9,4590329,1969,080.1030
P1937,470226.3,4589073.4,1969,080.1053
P1938,477281.9,4587435,1969,080.1075
P1939,478202.8,4586370.7,1969,080.1078
P1940,480510.8,4587662.2,1969,080.1086
P1941,478657.2,4589276.7,1969,080.1083
P1942,481766.4,4591273.8,1969,080.979
P1943,478645.2,4583201.7,1969,080.1146
P1945,472917,4571078.2,1969,080.1392
P1946,475500.1,4570552,1969,080.1462
P1947,474746.7,4572070.8,1969,080.1394
P1948,478334.3,4569356.1,1969,080.1451
P1949,473610.6,4573493.8,1969,080.1398
P1950,482806.8,4570731.4,1969,080.1417
P1951,481443.6,4568650.6,1969,080.1445
P1952,475787.1,4576686.8,1969,080.1310
P1953,480355.3,4577225,1969,080.1284
P1954,483847.3,4578755.7,1969,080.1263
P1955,479853.1,4579054.6,1969,080.1252
P2012,497354.7,4572907.8,1969,105.392
P2013,494353.1,4576017,1969,105.399
P2014,492977.8,4576471.5,1969,105.291
P2015,498993,4576495.4,1969,105.322
P2016,495979.4,4577906.5,1969,105.304
P2017,501073.8,4579401.3,1969,105.328
P2018,503537.3,4576806.3,1969,105.337
P2019,491246.2,4588190.9,1969,095.103
P2020,491353.8,4586325.4,1969,095.135
P2021,495814.4,4585775.3,1969,095.151
P2022,500490.3,4585799.2,1969,095.172
P2023,501973.1,4582689.9,1969,095.210
P2024,501447,4581601.7,1969,095.216
P2025,504855.2,4583299.8,1969,095.207
P2026,503181,4585404.5,1969,095.183
P2027,498816,4589028,1969,095.69
P2028,497763.7,4589219.4,1969,095.70
