pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P6264,P6264H03,3,78,110,H01-21,C,Rastresit maticen supstrat,NA,0.6,NA,8.19,6.92,NA,NA,NA,NA,0,NA,NA,NA,3,NA,NA,NA,NA,NA,5.94,30.7,27.5,34.77,7.03,100.00000000000001,41.800000000000004
P6265,P6265H01,1,0,24,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,1.32,1.1,NA,8.24,7.06,NA,NA,NA,NA,0,NA,NA,NA,1.54,NA,NA,NA,NA,NA,8.78,12.2,13.5,63.28,11.02,100,74.3
P6265,P6265H02,2,24,58,H01-45,IIC,Geoloski sloj,2.54,0.33,NA,8.09,7.01,NA,NA,NA,NA,0,NA,NA,NA,1.11,NA,NA,NA,NA,NA,19.42,10.7,12.5,59.92,16.88,100,76.8
P6265,P6265H03,3,84,100,H01-46,IIIC,Geoloski sloj,0,0.3,NA,7.8,6.24,NA,NA,4.6,19.86,20.66,96.12778315585673,NA,NA,3.15,NA,NA,NA,NA,NA,3.68,39.2,15.5,38.39,6.91,100,45.3
P6266,P6266H01,1,0,27,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.52,NA,6.83,5.75,NA,NA,6.1,10.04,11.11,90.36903690369037,NA,NA,1.34,NA,NA,NA,NA,NA,0.58,13.2,20.5,63.74,2.56,100,66.3
P6266,P6266H02,2,27,63,H01-45,IIC,Geoloski sloj,0,0.89,NA,7.49,6.26,NA,NA,3.7,13.96,14.610000000000001,95.55099247091033,NA,NA,1.98,NA,NA,NA,NA,NA,0.24,20.2,31.5,47.45,0.85,100.00000000000001,48.300000000000004
P6266,P6266H03,3,63,100,H01-46,IIIC,Geoloski sloj,0,1.21,NA,8.11,6.54,NA,NA,3.6,17.48,18.11,96.52125897294313,NA,NA,2.14,NA,NA,NA,NA,NA,NA,23.7,27.5,47.52,1.28,100.00000000000001,48.800000000000004
P6266,P6266H04,4,100,120,NA,NA,NA,0,0.9,NA,8.5,6.92,NA,NA,1.5,17.88,18.14,98.56670341786106,NA,NA,1.85,NA,NA,NA,NA,NA,0.56,22.2,24,52.25,1.35,99.8,53.6
P6268,P6268H01,1,0,20,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.93,NA,6.3,5,NA,NA,13.16,4.58,6.88,66.56976744186048,NA,NA,0.79,NA,NA,NA,NA,NA,2.35,10.7,16.5,53.08,19.72,100,72.8
P6268,P6268H02,2,20,45,H01-45,IIC,Geoloski sloj,0,1.19,NA,6.5,5,NA,NA,12.2,5.1,7.2299999999999995,70.53941908713693,NA,NA,0.62,NA,NA,NA,NA,NA,3.05,9.7,13,55.45,21.85,100.00000000000001,77.30000000000001
P6268,P6268H03,3,45,65,H01-46,IIIC,Geoloski sloj,0,1.36,NA,6,4.6,NA,NA,16.96,4.4,7.370000000000001,59.70149253731343,NA,NA,1.07,NA,NA,NA,NA,NA,4.2,16.2,13.5,43.17,27.13,100,70.3
P6268,P6268H04,4,65,100,H01-47,IVC,Geoloski sloj,0,1.34,NA,5.9,4.3,NA,NA,18.84,4.2,7.5,56.00000000000001,NA,NA,1.05,NA,NA,NA,NA,NA,3.04,15.2,15,45.82,23.98,100,69.8
P6269,P6269H01,1,0,22,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.11,NA,5.4,4.4,NA,NA,23.06,2.95,6.98,42.26361031518625,NA,NA,0.94,NA,NA,NA,NA,NA,1.05,8.2,26,62.87,2.93,100,65.8
P6269,P6269H02,2,22,60,H01-45,IIC,Geoloski sloj,0,1.31,NA,5.4,4.6,NA,NA,15.08,5.78,8.42,68.64608076009502,NA,NA,1.07,NA,NA,NA,NA,NA,0.42,8.7,25.5,63.61,2.19,100,65.8
P6269,P6269H03,3,60,100,H01-46,IIIC,Geoloski sloj,0,1.45,NA,6.2,5.2,NA,NA,12.3,10.72,12.870000000000001,83.29448329448329,NA,NA,1.46,NA,NA,NA,NA,NA,2.02,16.2,36,43.14,4.66,100,47.8
P6270,P6270H01,1,0,20,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,2.52,NA,5.3,4.7,NA,NA,19.8,4.65,8.11,57.33662145499384,NA,NA,1.09,NA,NA,NA,NA,NA,0.69,8.7,33,56.39,1.91,100,58.3
P6270,P6270H02,2,20,40,H01-45,IIC,Geoloski sloj,0,1.8,NA,6.1,5.3,NA,NA,11.91,8.81,10.88,80.97426470588235,NA,NA,1.28,NA,NA,NA,NA,NA,1.06,10.2,36,51.95,1.85,100.00000000000001,53.800000000000004
P6270,P6270H03,3,40,70,H01-46,IIIC,Geoloski sloj,0,1.63,NA,6.6,5.5,NA,NA,8.49,8.61,10.09,85.33201189296332,NA,NA,1.16,NA,NA,NA,NA,NA,7.78,9.2,29,50.88,10.92,100.00000000000001,61.800000000000004
