ProfID,soiltype,X,Y
P0544,Complex of Mollic and Umbric Leptosol,20.86522986,41.95344335
P0545,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.88444838,41.95159147
P0546,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.89808718,41.93845853
P0547,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.90539461,41.93069432
P0548,Fluvisol,20.90461881,41.91725064
P0549,Fluvisol,20.89056845,41.88533667
P0551,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.86488652,41.88179772
P0553,Cambisol,20.84153826,41.86137355
P0554,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol",20.85883435,41.85609267
P0556,Cambisol,20.8442045,41.83477891
P0569,Chromic Luvisol on saprolite,21.01034098,41.89225847
P0574,Chromic Luvisol on saprolite,21.06289117,41.9505159
P0579,Cambisol,20.77474834,41.72756704
P0580,Cambisol,20.75843706,41.70517609
P0584,Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones,20.59580707,41.66058862
P0585,Chromic Luvisol on saprolite,20.58391998,41.62509566
P0590,Rendzic Leptosols,20.71700875,41.63344229
P0597,Chromic Luvisol on saprolite,20.63340957,41.5384782
P0598,Chromic Luvisol on saprolite,20.68073111,41.55441341
P0601,Chromic Luvisol on saprolite,20.6965263,41.55797698
P0609,Complex of Mollic and Umbric Leptosol,20.79430147,41.59275305
P0611,Complex of Mollic and Umbric Leptosol,20.71170452,41.60092282
P0612,Complex of Mollic and Umbric Leptosol,20.75604224,41.61707152
P0616,Complex of Mollic and Umbric Leptosol,20.77621863,41.65019507
P0617,Rendzic Leptosols,20.79780972,41.65621404
P0618,Cambisol,20.80681922,41.71092235
P0620,Chromic Luvisol on hard limestones,20.84325651,41.67532039
P0622,Rendzic Leptosols,20.8862331,41.67295778
P0624,Rendzic Leptosols,20.95587059,41.66567599
P0625,Rendzic Leptosols,20.95942878,41.65977038
P0626,Cambisol,20.83410223,41.65291348
P0628,Cambisol,20.87143024,41.63414193
P0629,Cambisol,20.84392256,41.62828196
P0630,Cambisol,20.87368273,41.61773821
P0631,Complex of Mollic and Umbric Leptosol,20.83525201,41.59271997
P0632,Cambisol,20.87197083,41.58535597
P0633,Cambisol,20.88098619,41.5677977
P0634,Complex of Mollic and Umbric Leptosol,20.87237646,41.54988729
P0635,Chromic Luvisol on saprolite,21.0037154,41.51523609
P0636,Chromic Luvisol on saprolite,21.05843766,41.52312741
P0637,Chromic Luvisol on saprolite,21.04428869,41.56085418
P0638,Cambisol,21.05936994,41.5730036
P0639,Cambisol,21.05151277,41.5844162
P0641,Chromic Luvisol on saprolite,21.02013822,41.62297444
P0643,Chromic Luvisol on saprolite,20.99373889,41.60540819
